country,imports,exports,total
US,862171639041.0,1343390066172.0,2205561705213.0
CN,207228397477.0,77776755827.0,285005153304.0
MX,119983089486.0,20729927074.0,140713016560.0
GB,23009437605.0,101898552027.0,124907989632.0
JP,49839083339.0,33843747989.0,83682831328.0
DE,57281222281.0,19426252424.0,76707474705.0
KR,40803022879.0,17349124359.0,58152147238.0
VN,40720988353.0,2875582891.0,43596571244.0
IT,30652089326.0,8516741769.0,39168831095.0
FR,23465099667.0,11530086437.0,34995186104.0
BR,25702022187.0,6685561028.0,32387583215.0
IN,21127009719.0,10811938231.0,31938947950.0
NL,10404705735.0,20048827748.0,30453533483.0
CH,21047862853.0,9145428136.0,30193290989.0
TW,17983301481.0,4544747500.0,22528048981.0
PE,16959144411.0,3580218230.0,20539362641.0
BE,10062663647.0,8702161147.0,18764824794.0
TH,13777135419.0,2603254755.0,16380390174.0
AU,8497621946.0,7427842958.0,15925464904.0
ES,10199651838.0,5557457488.0,15757109326.0
