date,imports,exports
2024-01,56258939964.0,60998713910.0
2024-02,59849174698.0,61572666628.0
2024-03,64687481665.0,64250755748.0
2024-04,65599952067.0,64621065869.0
2024-05,66191459267.0,65447611725.0
2024-06,65212935796.0,65993180208.0
2024-07,63940217775.0,66262971159.0
2024-08,66693956565.0,62679523894.0
2024-09,64560398860.0,64786961940.0
2024-10,68163633288.0,68375805478.0
2024-11,64208501519.0,65791483047.0
2024-12,61844534630.0,70013999303.0
2025-01,62927119312.0,73836694854.0
2025-02,62196179879.0,65282358496.0
2025-03,72459556124.0,71921082979.0
2025-04,66409511109.0,60179717904.0
2025-05,67666697039.0,61795067946.0
2025-06,67519227550.0,61426421985.0
2025-07,65723773729.0,62071277051.0
2025-08,65648507322.0,57971281155.0
2025-09,63723000561.0,64443171481.0
2025-10,69151003405.0,67858621058.0
2025-11,63207061811.0,62925836305.0
2025-12,62214305495.0,68279062348.0
2026-01,59805499656.0,60277840247.0
2026-02,64524502865.0,61380823377.0
2026-03,74150370987.0,72716879971.0
2026-04,71148409458.0,71769386378.0
2026-05,72700346528.0,74652815727.0
2026-06,73854540821.0,79057334191.0
2026-07,71955331762.0,73175236104.0
