hs,name,imports,exports,total
2709.00.10,"Petroleum oils and oils obtained from bituminous minerals, - 27.09 Petroleum oils and oils obtained from bituminous minerals,",0.0,285454273170.0,285454273170.0
7108.12.10,Gold (including gold plated with platinum) unwrought or in - Non-monetary - Other unwrought forms,0.0,129348960817.0,129348960817.0
2709.00.29,"Petroleum oils and oils obtained from bituminous minerals, - 27.09 Petroleum oils and oils obtained from bituminous minerals,",0.0,98759140884.0,98759140884.0
2709.00.00 49,"Petroleum oils and oils obtained from bituminous minerals, - 27.09 Petroleum oils and oils obtained from bituminous minerals,",48979894282.0,0.0,48979894282.0
8703.23.00 92,"Motor cars and other motor vehicles principally designed for - Of a cylinder capacity exceeding 1,500 cc but not exceeding",45510993294.0,0.0,45510993294.0
8703.23.97,"Motor cars and other motor vehicles principally designed for - Of a cylinder capacity exceeding 1,500 cc but not exceeding",0.0,40526393569.0,40526393569.0
8704.31.00 20,Motor vehicles for the transport of goods - g.v.w. not exceeding 5 tonnes,36210524623.0,0.0,36210524623.0
9999.99.99 00,HS 999999,33229159999.0,0.0,33229159999.0
7108.12.00 22,Gold (including gold plated with platinum) unwrought or in - Non-monetary - Other unwrought forms,31114452454.0,0.0,31114452454.0
2711.21.00,Petroleum gases and other gaseous hydrocarbons - In gaseous state - Natural gas,0.0,28333739573.0,28333739573.0
3004.90.90,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) - Other, containing alkaloids or derivatives thereof - Other",0.0,22743404679.0,22743404679.0
3104.20.00,"Mineral or chemical fertilisers, potassic - Potassium chloride",0.0,22669087090.0,22669087090.0
8517.13.00 00,"Telephone sets, including smartphones and other telephones for - Smartphones",22571795648.0,0.0,22571795648.0
8703.40.90,"Motor cars and other motor vehicles principally designed for - Other vehicles, with both spark-ignition internal combustion",0.0,22192261203.0,22192261203.0
8802.40.00,"Other aircraft (for example, helicopters, aeroplanes), except - Helicopters - 1.- For the purposes of subheadings 8802.11 to , the expression “unladen weight” means the",0.0,22017419938.0,22017419938.0
2701.12.10,"Coal; briquettes, ovoids and similar solid fuels manufactured - Coal, whether or not pulverised, but not agglomerated - 2.- For the purposes of subheading , “bituminous coal” means coal having a volatile matter limit (on",0.0,19821568990.0,19821568990.0
8708.29.00,Parts and accessories of the motor vehicles of headings 87.01 to - Other parts and accessories of bodies (including cabs) - Other,0.0,18085509646.0,18085509646.0
8471.30.00 00,"Automatic data processing machines and units thereof; - Portable automatic data processing machines, weighing not more",17599230820.0,0.0,17599230820.0
7601.10.00,"Unwrought aluminium - Aluminium, not alloyed",0.0,17545770873.0,17545770873.0
2710.19.20,"Petroleum oils and oils obtained from bituminous minerals, - Other",0.0,17258757736.0,17258757736.0
