province,hs2,hs2_name,exports,imports,total
AB,27,HS 270000,0.0,19917394338.0,19917394338.0
AB,84,HS 840000,0.0,16688539618.0,16688539618.0
AB,85,HS 850000,0.0,8036048998.0,8036048998.0
AB,87,HS 870000,0.0,4870657547.0,4870657547.0
AB,39,HS 390000,0.0,4396229880.0,4396229880.0
AB,73,HS 730000,0.0,4312778760.0,4312778760.0
AB,90,HS 900000,0.0,3636212990.0,3636212990.0
AB,22,HS 220000,0.0,3485993717.0,3485993717.0
AB,94,HS 940000,0.0,2146066343.0,2146066343.0
AB,29,HS 290000,0.0,2026261188.0,2026261188.0
AB,08,HS 080000,0.0,1977879624.0,1977879624.0
AB,38,HS 380000,0.0,1945743912.0,1945743912.0
AB,88,HS 880000,0.0,1943344991.0,1943344991.0
AB,40,HS 400000,0.0,1941066032.0,1941066032.0
AB,01,HS 010000,0.0,1807007642.0,1807007642.0
AB,07,HS 070000,0.0,1493439948.0,1493439948.0
AB,31,HS 310000,0.0,1161921717.0,1161921717.0
AB,95,HS 950000,0.0,1016590125.0,1016590125.0
AB,23,HS 230000,0.0,839643415.0,839643415.0
AB,99,HS 990000,0.0,829515627.0,829515627.0
AB,71,HS 710000,0.0,803915332.0,803915332.0
AB,34,HS 340000,0.0,791428783.0,791428783.0
AB,86,HS 860000,0.0,720796273.0,720796273.0
AB,48,HS 480000,0.0,719586202.0,719586202.0
AB,76,HS 760000,0.0,716377857.0,716377857.0
AB,21,HS 210000,0.0,679547042.0,679547042.0
AB,68,HS 680000,0.0,654957340.0,654957340.0
AB,28,HS 280000,0.0,608677770.0,608677770.0
AB,44,HS 440000,0.0,582919645.0,582919645.0
AB,72,HS 720000,0.0,554300454.0,554300454.0
AB,19,HS 190000,0.0,545914625.0,545914625.0
AB,33,HS 330000,0.0,523112694.0,523112694.0
AB,20,HS 200000,0.0,521122962.0,521122962.0
AB,82,HS 820000,0.0,509953100.0,509953100.0
AB,30,HS 300000,0.0,460979452.0,460979452.0
AB,10,HS 100000,0.0,436650562.0,436650562.0
AB,62,HS 620000,0.0,431043062.0,431043062.0
AB,83,HS 830000,0.0,426892702.0,426892702.0
AB,25,HS 250000,0.0,409868519.0,409868519.0
AB,63,HS 630000,0.0,394297907.0,394297907.0
AB,70,HS 700000,0.0,381252509.0,381252509.0
AB,61,HS 610000,0.0,364283573.0,364283573.0
AB,12,HS 120000,0.0,294025879.0,294025879.0
AB,42,HS 420000,0.0,265883139.0,265883139.0
AB,69,HS 690000,0.0,216064966.0,216064966.0
AB,16,HS 160000,0.0,207116719.0,207116719.0
AB,96,HS 960000,0.0,200078775.0,200078775.0
AB,03,HS 030000,0.0,192822990.0,192822990.0
AB,32,HS 320000,0.0,174490055.0,174490055.0
AB,09,HS 090000,0.0,173458066.0,173458066.0
AB,15,HS 150000,0.0,151316828.0,151316828.0
AB,74,HS 740000,0.0,134656160.0,134656160.0
AB,17,HS 170000,0.0,128488909.0,128488909.0
AB,36,HS 360000,0.0,128361979.0,128361979.0
AB,49,HS 490000,0.0,128017208.0,128017208.0
AB,64,HS 640000,0.0,126626152.0,126626152.0
AB,02,HS 020000,0.0,126119374.0,126119374.0
AB,93,HS 930000,0.0,126105949.0,126105949.0
AB,56,HS 560000,0.0,106293614.0,106293614.0
AB,75,HS 750000,0.0,103543370.0,103543370.0
AB,89,HS 890000,0.0,103184217.0,103184217.0
AB,18,HS 180000,0.0,97535585.0,97535585.0
AB,35,HS 350000,0.0,92301406.0,92301406.0
AB,57,HS 570000,0.0,92129853.0,92129853.0
AB,04,HS 040000,0.0,88771995.0,88771995.0
AB,65,HS 650000,0.0,85062572.0,85062572.0
AB,81,HS 810000,0.0,78539589.0,78539589.0
AB,59,HS 590000,0.0,76814266.0,76814266.0
AB,60,HS 600000,0.0,51564029.0,51564029.0
AB,13,HS 130000,0.0,51447709.0,51447709.0
AB,91,HS 910000,0.0,50700917.0,50700917.0
AB,06,HS 060000,0.0,44129161.0,44129161.0
AB,11,HS 110000,0.0,42468851.0,42468851.0
AB,54,HS 540000,0.0,41532608.0,41532608.0
AB,97,HS 970000,0.0,38452721.0,38452721.0
AB,05,HS 050000,0.0,31988559.0,31988559.0
AB,24,HS 240000,0.0,23750652.0,23750652.0
AB,98,HS 980000,0.0,23611833.0,23611833.0
AB,67,HS 670000,0.0,23084617.0,23084617.0
AB,66,HS 660000,0.0,20484239.0,20484239.0
AB,58,HS 580000,0.0,16591890.0,16591890.0
AB,47,HS 470000,0.0,13833782.0,13833782.0
AB,92,HS 920000,0.0,13207721.0,13207721.0
AB,55,HS 550000,0.0,9607742.0,9607742.0
AB,52,HS 520000,0.0,8399365.0,8399365.0
AB,37,HS 370000,0.0,7810436.0,7810436.0
AB,53,HS 530000,0.0,7047053.0,7047053.0
AB,46,HS 460000,0.0,6238809.0,6238809.0
AB,78,HS 780000,0.0,5629310.0,5629310.0
AB,14,HS 140000,0.0,5101498.0,5101498.0
AB,26,HS 260000,0.0,4723360.0,4723360.0
AB,41,HS 410000,0.0,4246106.0,4246106.0
AB,43,HS 430000,0.0,3629731.0,3629731.0
AB,45,HS 450000,0.0,3364904.0,3364904.0
AB,79,HS 790000,0.0,2745036.0,2745036.0
AB,51,HS 510000,0.0,2523671.0,2523671.0
AB,80,HS 800000,0.0,1364959.0,1364959.0
AB,50,HS 500000,0.0,380207.0,380207.0
BC,84,HS 840000,0.0,31535327608.0,31535327608.0
BC,87,HS 870000,0.0,21686617925.0,21686617925.0
BC,85,HS 850000,0.0,17689088009.0,17689088009.0
BC,27,HS 270000,0.0,8329692623.0,8329692623.0
BC,39,HS 390000,0.0,6833677419.0,6833677419.0
BC,73,HS 730000,0.0,6116712655.0,6116712655.0
BC,61,HS 610000,0.0,5940870171.0,5940870171.0
BC,94,HS 940000,0.0,5863774185.0,5863774185.0
BC,90,HS 900000,0.0,5409640962.0,5409640962.0
BC,08,HS 080000,0.0,5162986430.0,5162986430.0
BC,62,HS 620000,0.0,4444180469.0,4444180469.0
BC,72,HS 720000,0.0,3995759772.0,3995759772.0
BC,95,HS 950000,0.0,3871258301.0,3871258301.0
BC,26,HS 260000,0.0,3352215234.0,3352215234.0
BC,48,HS 480000,0.0,3225076829.0,3225076829.0
BC,44,HS 440000,0.0,3162487377.0,3162487377.0
BC,88,HS 880000,0.0,3107577751.0,3107577751.0
BC,28,HS 280000,0.0,2924382427.0,2924382427.0
BC,07,HS 070000,0.0,2864951913.0,2864951913.0
BC,76,HS 760000,0.0,2802407841.0,2802407841.0
BC,22,HS 220000,0.0,2542091533.0,2542091533.0
BC,03,HS 030000,0.0,2482310544.0,2482310544.0
BC,64,HS 640000,0.0,2354982834.0,2354982834.0
BC,40,HS 400000,0.0,2273479005.0,2273479005.0
BC,19,HS 190000,0.0,2135828076.0,2135828076.0
BC,38,HS 380000,0.0,2082679679.0,2082679679.0
BC,20,HS 200000,0.0,1908940912.0,1908940912.0
BC,21,HS 210000,0.0,1751894776.0,1751894776.0
BC,09,HS 090000,0.0,1732376536.0,1732376536.0
BC,42,HS 420000,0.0,1428648095.0,1428648095.0
BC,71,HS 710000,0.0,1369801345.0,1369801345.0
BC,68,HS 680000,0.0,1267148672.0,1267148672.0
BC,63,HS 630000,0.0,1237984782.0,1237984782.0
BC,89,HS 890000,0.0,1231507844.0,1231507844.0
BC,16,HS 160000,0.0,1188936350.0,1188936350.0
BC,70,HS 700000,0.0,1162100040.0,1162100040.0
BC,99,HS 990000,0.0,1150481839.0,1150481839.0
BC,02,HS 020000,0.0,1067790135.0,1067790135.0
BC,96,HS 960000,0.0,1062137198.0,1062137198.0
BC,83,HS 830000,0.0,1043153898.0,1043153898.0
BC,29,HS 290000,0.0,964752334.0,964752334.0
BC,82,HS 820000,0.0,933291144.0,933291144.0
BC,33,HS 330000,0.0,884772155.0,884772155.0
BC,15,HS 150000,0.0,856416412.0,856416412.0
BC,10,HS 100000,0.0,770130161.0,770130161.0
BC,32,HS 320000,0.0,760340737.0,760340737.0
BC,23,HS 230000,0.0,754545346.0,754545346.0
BC,12,HS 120000,0.0,716776904.0,716776904.0
BC,69,HS 690000,0.0,686457253.0,686457253.0
BC,17,HS 170000,0.0,686269504.0,686269504.0
BC,49,HS 490000,0.0,654219811.0,654219811.0
BC,34,HS 340000,0.0,646422821.0,646422821.0
BC,30,HS 300000,0.0,623752278.0,623752278.0
BC,25,HS 250000,0.0,595526047.0,595526047.0
BC,35,HS 350000,0.0,550590432.0,550590432.0
BC,74,HS 740000,0.0,550112759.0,550112759.0
BC,04,HS 040000,0.0,468430119.0,468430119.0
BC,06,HS 060000,0.0,444918474.0,444918474.0
