date,province,exports,imports,total
2024-01,AB,0.0,2972610846.0,2972610846.0
2024-02,AB,0.0,3294346182.0,3294346182.0
2024-03,AB,0.0,3344270551.0,3344270551.0
2024-04,AB,0.0,3483025382.0,3483025382.0
2024-05,AB,0.0,3616056505.0,3616056505.0
2024-06,AB,0.0,3338080908.0,3338080908.0
2024-07,AB,0.0,3306154899.0,3306154899.0
2024-08,AB,0.0,3457114910.0,3457114910.0
2024-09,AB,0.0,3336931170.0,3336931170.0
2024-10,AB,0.0,3365646206.0,3365646206.0
2024-11,AB,0.0,3688797919.0,3688797919.0
2024-12,AB,0.0,3324844767.0,3324844767.0
2025-01,AB,0.0,3580951448.0,3580951448.0
2025-02,AB,0.0,3468166779.0,3468166779.0
2025-03,AB,0.0,3638383704.0,3638383704.0
2025-04,AB,0.0,3376146049.0,3376146049.0
2025-05,AB,0.0,3404859677.0,3404859677.0
2025-06,AB,0.0,3324493553.0,3324493553.0
2025-07,AB,0.0,3175341138.0,3175341138.0
2025-08,AB,0.0,3295795279.0,3295795279.0
2025-09,AB,0.0,3375832397.0,3375832397.0
2025-10,AB,0.0,3083396161.0,3083396161.0
2025-11,AB,0.0,2789726476.0,2789726476.0
2025-12,AB,0.0,2666327628.0,2666327628.0
2026-01,AB,0.0,2730099665.0,2730099665.0
2026-02,AB,0.0,2658569132.0,2658569132.0
2026-03,AB,0.0,3036333121.0,3036333121.0
2026-04,AB,0.0,3315083804.0,3315083804.0
2026-05,AB,0.0,3133081620.0,3133081620.0
2026-06,AB,0.0,3151105942.0,3151105942.0
2026-07,AB,0.0,3236112050.0,3236112050.0
2024-01,BC,0.0,5561108527.0,5561108527.0
2024-02,BC,0.0,6204665894.0,6204665894.0
2024-03,BC,0.0,6096085506.0,6096085506.0
2024-04,BC,0.0,6105377848.0,6105377848.0
2024-05,BC,0.0,6364804544.0,6364804544.0
2024-06,BC,0.0,5869489493.0,5869489493.0
2024-07,BC,0.0,6625058846.0,6625058846.0
2024-08,BC,0.0,7066638929.0,7066638929.0
2024-09,BC,0.0,6384645853.0,6384645853.0
2024-10,BC,0.0,6605445979.0,6605445979.0
2024-11,BC,0.0,5744199753.0,5744199753.0
2024-12,BC,0.0,5770207703.0,5770207703.0
2025-01,BC,0.0,6524289149.0,6524289149.0
2025-02,BC,0.0,5655482741.0,5655482741.0
2025-03,BC,0.0,6764258251.0,6764258251.0
2025-04,BC,0.0,6379264052.0,6379264052.0
2025-05,BC,0.0,6306757813.0,6306757813.0
2025-06,BC,0.0,6291720790.0,6291720790.0
2025-07,BC,0.0,6543621266.0,6543621266.0
2025-08,BC,0.0,6482257131.0,6482257131.0
2025-09,BC,0.0,6282182184.0,6282182184.0
2025-10,BC,0.0,6522391003.0,6522391003.0
2025-11,BC,0.0,6132866818.0,6132866818.0
2025-12,BC,0.0,6300016169.0,6300016169.0
2026-01,BC,0.0,6389118877.0,6389118877.0
2026-02,BC,0.0,6038441740.0,6038441740.0
2026-03,BC,0.0,7241303527.0,7241303527.0
2026-04,BC,0.0,6228064564.0,6228064564.0
2026-05,BC,0.0,6874298855.0,6874298855.0
2026-06,BC,0.0,6872698293.0,6872698293.0
2026-07,BC,0.0,7970455395.0,7970455395.0
2024-01,MB,0.0,2390718209.0,2390718209.0
2024-02,MB,0.0,2564479124.0,2564479124.0
2024-03,MB,0.0,2875680913.0,2875680913.0
2024-04,MB,0.0,2824945141.0,2824945141.0
2024-05,MB,0.0,2834821487.0,2834821487.0
2024-06,MB,0.0,2617707122.0,2617707122.0
2024-07,MB,0.0,2327241101.0,2327241101.0
2024-08,MB,0.0,2640431326.0,2640431326.0
2024-09,MB,0.0,2456829437.0,2456829437.0
2024-10,MB,0.0,2661889387.0,2661889387.0
2024-11,MB,0.0,2499178307.0,2499178307.0
2024-12,MB,0.0,2407016601.0,2407016601.0
2025-01,MB,0.0,2529736757.0,2529736757.0
2025-02,MB,0.0,2679158573.0,2679158573.0
2025-03,MB,0.0,3463559836.0,3463559836.0
2025-04,MB,0.0,2673034086.0,2673034086.0
2025-05,MB,0.0,2665094676.0,2665094676.0
2025-06,MB,0.0,2484020581.0,2484020581.0
2025-07,MB,0.0,2426778227.0,2426778227.0
2025-08,MB,0.0,2627585665.0,2627585665.0
2025-09,MB,0.0,2382541597.0,2382541597.0
2025-10,MB,0.0,2825270657.0,2825270657.0
2025-11,MB,0.0,2480018515.0,2480018515.0
2025-12,MB,0.0,2639700002.0,2639700002.0
2026-01,MB,0.0,2437365143.0,2437365143.0
2026-02,MB,0.0,2788313631.0,2788313631.0
2026-03,MB,0.0,3077424025.0,3077424025.0
2026-04,MB,0.0,3221656975.0,3221656975.0
2026-05,MB,0.0,3286407521.0,3286407521.0
2026-06,MB,0.0,3185430867.0,3185430867.0
2026-07,MB,0.0,3021970094.0,3021970094.0
2024-01,NB,0.0,1314723871.0,1314723871.0
2024-02,NB,0.0,1473525660.0,1473525660.0
2024-03,NB,0.0,1312400147.0,1312400147.0
